year,treat,control
2010,1.0,1.0
2011,0.998811115426427,0.9952481271150168
2012,0.994426890595273,0.9920341796152424
2013,0.9958756934996243,0.9932133884611017
2014,0.993277569335978,0.9917381248416343
2015,0.991938781779542,0.9894215439663857
2016,0.9899650004689933,0.9885638566176325
2017,0.9901298412573579,0.9870295122839765
2018,0.9904601247387024,0.9873396581561823
2019,0.9912489404056913,0.9879271233225927
2021,0.9892904658242634,0.9914521251388602
