DIVISION,SEX,EVENT,SLOPE,R_VAL,P_VAL,STD_ERR,2021_PRED,2021_ACTUAL,PERCENT_DIFF
D1,Women,100,-0.01718000000000097,-0.8394790974019104,0.0023817636536268695,0.003931710245496656,11.309799999999989,11.360699999999994,0.45005216714712704
D1,Men,100,-0.012959393939393698,-0.9027192573762574,0.00034790756024976683,0.0021836739161945856,10.218233939393944,10.239100000000002,0.20420417784343917
D2,Women,100,-0.024320606060607496,-0.9156930765820906,0.0001994355337343637,0.003773758067773948,11.81356606060605,11.870299999999991,0.48024397631405086
D2,Men,100,-0.011915757575756913,-0.8517557416591482,0.0017597980086677045,0.0025914473302347998,10.51777757575758,10.5528,0.33298312300444344
D3,Women,100,-0.018776969696968657,-0.7538629990857186,0.01178420211297127,0.005785945909207739,12.164429696969712,12.2687,0.8571737897113527
D3,Men,100,-0.012618787878787301,-0.9113899508149252,0.00024208382446098712,0.002014580142282465,10.70410787878788,10.761100000000004,0.5324322387021548
D1,Women,10000,-3.958124242424297,-0.9249443755373414,0.00012672096259124725,0.5750816715535255,2023.6619424242426,2024.4236000000008,0.03763758954945357
D1,Men,10000,-1.1275151515151816,-0.6355269508639818,0.04829837505110155,0.48428942204654263,1750.2321715151506,1732.0590999999997,-1.03832347564602
D2,Women,10000,-3.5902206060606052,-0.819307510184969,0.0037267018774690725,0.8882849686495286,2193.8627260606063,2209.3667,0.7066975410641733
D2,Men,10000,-1.7152684848485231,-0.6118623700981922,0.06011068850624128,0.7839533552277091,1838.0593848484846,1810.6479000000002,-1.4913274878082352
D3,Women,10000,-1.678184242424237,-0.5790155673316434,0.07944154347530735,0.835469556378712,2228.4647024242427,2268.868700000001,1.8130867198302318
D3,Men,10000,-1.0942496969696867,-0.39318427555686714,0.260994781145525,0.9047070938792945,1861.6024969696969,1875.0338999999994,0.7214968314753623
D1,Women,100H,-0.024395757575759826,-0.9470273304728254,3.230780165594638e-05,0.0029249520884841364,13.193837575757563,13.206599999999998,0.0967301906602602
D2,Women,100H,-0.029362424242424152,-0.8206500924449568,0.0036234107048254824,0.007228575398768986,14.126364242424245,14.356900000000003,1.6319539381790409
D3,Women,100H,-0.027367272727273014,-0.7270531852917254,0.01719822849358928,0.009137180756464868,14.71029272727273,14.908700000000001,1.3487649525792673
D1,Men,110H,-0.00777818181818252,-0.8121181357164513,0.00431606453044683,0.001975829985659825,13.880061818181819,13.806899999999999,-0.5271000888914161
D2,Men,110H,-0.02800787878787883,-0.8394491112638368,0.0023834527678511346,0.006410488077525985,14.450978787878789,14.518799999999999,0.4693191590461472
D3,Men,110H,-0.017703636363634978,-0.8872765832281946,0.0006152395566373794,0.0032537435104744356,14.833276363636372,14.94710000000001,0.7673533046459975
D1,Women,1500,-0.24560969696969215,-0.827315952607752,0.003140749513973281,0.05896062106805855,257.7088369696969,255.8,-0.7406951939026235
D1,Men,1500,-0.07585818181819205,-0.606860305214204,0.06282956596554559,0.03512620356457027,222.84710181818176,220.62079999999997,-0.9990265971680411
D2,Women,1500,-0.4749636363636231,-0.8977247543771885,0.0004224129260128879,0.08240888602157406,271.58925636363654,272.5786,0.364279371581181
D2,Men,1500,-0.3074993939393878,-0.8827480685846263,0.0007161505477236563,0.05786535244505909,229.93089393939397,228.67629999999997,-0.5456395693067193
D3,Women,1500,-0.22452484848485202,-0.5474642798931941,0.10141542221741555,0.12133899102314796,276.47776848484847,281.19199999999984,1.705103285875847
D3,Men,1500,-0.06973151515151131,-0.4342939536761096,0.20979899242426867,0.051134594855151934,233.4787351515152,233.737,0.11061600462980035
D1,Women,200,-0.04574848484848634,-0.8863710515290578,0.0006345288632921743,0.008448395047564427,22.996224848484857,23.180200000000013,0.8000232765478361
D1,Men,200,-0.02569999999999906,-0.9098157371768655,0.0002592440548403658,0.004144725746675333,20.57542000000001,20.608399999999993,0.16028834405316747
D2,Women,200,-0.041922424242425135,-0.9211833409097522,0.00015338073247936077,0.00626107255735111,24.25152424242424,24.479899999999994,0.9416965106722951
D2,Men,200,-0.025606666666666975,-0.9347457515228338,7.328129210459406e-05,0.00344136630136952,21.23560666666667,21.354100000000003,0.5579936339625804
D3,Women,200,-0.03227454545454463,-0.7015857401862063,0.023749201119446978,0.011589670593369118,25.002665454545465,25.195499999999996,0.7712559519108139
D3,Men,200,-0.028357575757574825,-0.870728993214227,0.0010422461473180607,0.005662355157709851,21.610235757575758,21.7892,0.8281457196111557
D1,Women,3000S,-1.2823175757576042,-0.8901683556122426,0.0005565041933085067,0.23205580487249378,610.8553357575756,606.4839,-0.7156253701466451
D1,Men,3000S,-0.22070181818180368,-0.4788880646551726,0.16142259714220578,0.14304084477459483,531.9209581818184,527.5473999999999,-0.8222195637426842
D2,Women,3000S,-2.6386818181818166,-0.8906988149353934,0.0005461927636225295,0.4761401099764396,652.9104581818183,671.4186000000002,2.834713640477158
D2,Men,3000S,-0.9653503030303234,-0.7855860332231475,0.00707365262378902,0.268820952793809,554.664023030303,555.1945000000001,0.09563933258170561
D3,Women,3000S,-0.2553793939393328,-0.31289440918474815,0.3787092206688567,0.2740751723495398,673.2415339393943,688.0873000000001,2.2051173779694677
