CHAMP_YEAR,DIVISION,EVENT,SEX,TIME_SECS_AVG,TIME_SECS_SCALED,TREAT,AFTER,TREAT_AFTER
2021,D1,10000,Women,2024.4236000000008,0.9759765714358173,1,True,1
2010,D1,100H,Women,13.464700000000002,1.0,0,False,0
2011,D1,100H,Women,13.412700000000012,0.9961380498637185,0,False,0
2012,D1,100H,Women,13.42320000000002,0.9969178667181606,0,False,0
2013,D1,100H,Women,13.413500000000015,0.9961974644812,0,False,0
2014,D1,100H,Women,13.377200000000006,0.9935015262129868,0,False,0
2015,D1,100H,Women,13.351099999999981,0.9915631243176587,0,False,0
2016,D1,100H,Women,13.29399999999999,0.9873224059949339,0,False,0
2017,D1,100H,Women,13.269599999999999,0.985510260161756,0,False,0
2018,D1,100H,Women,13.232199999999995,0.9827326267945066,0,False,0
2019,D1,100H,Women,13.285899999999996,0.9867208329929367,0,False,0
2021,D1,100H,Women,13.206599999999998,0.9808313590351063,0,True,0
2010,D1,110H,Men,13.992800000000004,1.0,0,False,0
2011,D1,110H,Men,13.947200000000002,0.9967411811788919,0,False,0
2012,D1,110H,Men,13.92700000000001,0.9952975816134016,0,False,0
2013,D1,110H,Men,13.95060000000001,0.996984163283975,0,False,0
2014,D1,110H,Men,13.91890000000001,0.9947187124807048,0,False,0
2015,D1,110H,Men,13.917900000000014,0.9946472471556808,0,False,0
2016,D1,110H,Men,13.924400000000015,0.9951117717683388,0,False,0
2017,D1,110H,Men,13.93810000000002,0.996090846721172,0,False,0
2018,D1,110H,Men,13.898699999999995,0.9932751129152129,0,False,0
2019,D1,110H,Men,13.89059999999999,0.9926962437825158,0,False,0
2021,D1,110H,Men,13.806899999999999,0.9867145960779826,0,True,0
2010,D1,1500,Men,223.63960000000003,1.0,1,False,0
2011,D1,1500,Men,224.04330000000016,1.0018051364785132,1,False,0
2012,D1,1500,Men,223.44920000000002,0.9991486302068149,1,False,0
2013,D1,1500,Men,223.50869999999995,0.9994146832671849,1,False,0
2014,D1,1500,Men,223.4126,0.998984974038587,1,False,0
2015,D1,1500,Men,222.7486,0.9960159113144541,1,False,0
2016,D1,1500,Men,222.98179999999996,0.9970586604519054,1,False,0
2017,D1,1500,Men,223.13279999999997,0.9977338539328453,1,False,0
2018,D1,1500,Men,222.99860000000004,0.9971337813160103,1,False,0
2019,D1,1500,Men,223.48659999999995,0.9993158635590473,1,False,0
2021,D1,1500,Men,220.62079999999997,0.9865014961572098,1,True,1
2010,D1,1500,Women,261.17510000000004,1.0,1,False,0
2011,D1,1500,Women,260.3834999999999,0.9969690831936118,1,False,0
2012,D1,1500,Women,259.11019999999996,0.9920938098616595,1,False,0
2013,D1,1500,Women,258.9167,0.991352927595318,1,False,0
2014,D1,1500,Women,259.81870000000004,0.9948065493226574,1,False,0
2015,D1,1500,Women,258.8479,0.9910895027895077,1,False,0
2016,D1,1500,Women,259.28030000000007,0.9927450970632347,1,False,0
2017,D1,1500,Women,258.5880000000001,0.990094384954768,1,False,0
2018,D1,1500,Women,258.5838,0.9900783037892967,1,False,0
2019,D1,1500,Women,258.3488,0.989178524292706,1,False,0
2021,D1,1500,Women,255.8,0.9794195541611738,1,True,1
2010,D1,200,Men,20.869199999999992,1.0,0,False,0
2011,D1,200,Men,20.830099999999998,0.9981264255457807,0,False,0
2012,D1,200,Men,20.773899999999998,0.9954334617522476,0,False,0
2013,D1,200,Men,20.829400000000007,0.998092883292125,0,False,0
2014,D1,200,Men,20.740099999999995,0.9938138500757098,0,False,0
2015,D1,200,Men,20.7373,0.9936796810610856,0,False,0
2016,D1,200,Men,20.71580000000001,0.9926494546987914,0,False,0
2017,D1,200,Men,20.6341,0.9887345945220711,0,False,0
2018,D1,200,Men,20.608800000000002,0.9875222816399292,0,False,0
2019,D1,200,Men,20.686000000000003,0.9912215130431454,0,False,0
2021,D1,200,Men,20.608399999999993,0.9875031146378395,0,True,0
2010,D1,200,Women,23.516900000000007,1.0,0,False,0
2011,D1,200,Women,23.394700000000007,0.9948037368870898,0,False,0
